nama_kegiatan,kategori,prioritas
bermain game,fun,low
valorant,fun,low
lari pagi,exercise,high
nongkrong,fun,low
belajar matematika,study,high
menonton anime,fun,low
bermain kartu,fun,low
senam,exercise,high
mobile legend,fun,low
belajar komunikasi,study,high
hiking,fun,low
memancing,fun,low
berenang,exercise,high
jalan-jalan,fun,low
belajar grammar,study,high
liburan kepantai,fun,low
mendengar podcast,fun,low
jogging,exercise,high
main catur,fun,low
journaling,study,high
bermain sudoku,fun,low
menonton drakor,fun,low
latihan speaking,exercise,high
tiktok,fun,low
membuat karya ilmiah,study,high
melihat youtube,fun,low
instagram,fun,low
analisa saham,exercise,high
rebahan,fun,low
membaca buku ,study,high
main bola,fun,low
main kartu,fun,low
desain,exercise,high
main uno,fun,low
belajar fisika,study,high
menonton kartun,fun,low
menonton tv,fun,low
latihan pidato,exercise,high
main PES,fun,low
mengikuti course online,study,high
main tennis,fun,low
main  layang layang,fun,low
bersepeda,exercise,high
karaoke,fun,low
belajar vocab,study,high
main puzzle,fun,low
VR game,fun,low
skipping,exercise,high
main pasir,fun,low
belajar bahasa asing,study,high
maraton drama,fun,low
ikut pameran cosplay,fun,low
aerobik,exercise,high
berjoget,fun,low
membaca koran,study,high
crafting,fun,low
main fornite,fun,low
berjalan kaki,exercise,high
menyirami tanaman,fun,low
ikut pertemuan kelompok minat,study,high
mewarnai,fun,low
main PUBG,fun,low
latihan gitar,exercise,high
masak-masak,fun,low
belajar seni,study,high
minecraft,fun,low
nonton ig,fun,low
latihan futsal,exercise,high
scroll tiktok,fun,low
belajar politik,study,high
outbond,fun,low
main hula hop,fun,low
basket,exercise,high
melihat senja,fun,low
belajar investasi,study,high
ngopi,fun,low
nonton film,fun,low
belajar silat,exercise,high
camping,fun,low
bekerja,study,high
piknik,fun,low
motoran,fun,low
angkat beban,exercise,high
berkebun,fun,low
kuliah,study,high
dekor ualng kamar,fun,low
medososan,fun,low
ngoding,exercise,high
twiteran,fun,low
belajar geologi,study,high
baca komik,fun,low
menonton onepiece,fun,low
main saham,exercise,high
main PS,fun,low
ikut organisasi,study,high
main HP,fun,low
main nitendo,fun,low
push up,exercise,high
scroll tiktok,fun,low
belajar peta,study,high
hangout,fun,low
dance party,fun,low
menjahit,exercise,high
bermain di pasar malam,fun,low
belajar robotik,study,high
nonton konser,fun,low
jalan-jalan malam,fun,low
sit up,exercise,high
traveling,fun,low
menulis jurnal,study,high
bernyanyi,fun,low
bermain balok,fun,low
squat,exercise,high
menyusun puzzle,fun,low
membaca buku peningkatan diri,study,high
main game,fun,low
bermain mobil,fun,low
plank,exercise,high
main pc,fun,low
lokakarya,study,high
main gawai,fun,low
main gaget,fun,low
pull up,exercise,high
scroll facebook,fun,low
penelitian,study,high
tiduran ,fun,low
bermain drone,fun,low
yoga,exercise,high
mendengarkan lagu,fun,low
membuat mindmap,study,high
streaming,fun,low
gosip,fun,low
futsal,exercise,high
belanja,fun,low
mengikuti seminar,study,high
jajan,fun,low
shoping,fun,low
surfing,exercise,high
